"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"Kidou Senshi Gundam: Giren no Yabou- Zeon no Keifu","Bandai","Bandai","February 10, 2000","Unreleased","Unreleased",""
"Kidou Senshi Gundam: Giren no Yabou- Zeon no Keifu – Kouryaku Shireisho","Bandai","Bandai","June 29, 2000","Unreleased","Unreleased",""
"Kidou Senshi Gundam: The Gunjin Shogi","Amedio","Bandai","October 25, 2001","Unreleased","Unreleased",""
"Kiganjo","Kodansha","Kodansha","December 22, 1999","Unreleased","Unreleased",""
"Kikansha Thomas to Nakamatachi","Bandai","Bandai","September 21, 2000","Unreleased","Unreleased",""
"Kikuni Masahiko: Warau Fukei-san Pachi-Slot Hunter","Forum","Forum","December 9, 1994","Unreleased","Unreleased",""
"Kileak: The DNA Imperative•Kileak: The BloodJP,PAL","Genki","SCEA","January 27, 1995","September 29, 1995","September 9, 1995",""
"Killer Loop","Crave Entertainment","VCC Entertainment","Unreleased","November 9, 1999","October 31, 1999",""
"Killing Zone","Scarab","Naxat SoftJP, AcclaimNA","March 29, 1996","Unreleased","September 13, 1996",""
"Kimagure My Baby","Axela","ASK","September 10, 1998","Unreleased","Unreleased",""
"Kimero!! Hero Gakuen: Eiyuu ni Shinjutsu Nashi","Central Systems","Central Systems","March 23, 2000","Unreleased","Unreleased",""
"Kimi ni Steady","CD Bros.","CD Bros.","September 28, 2000","Unreleased","Unreleased",""
"Kimi no Kimochi, Boku no Kokoro","Japan Media Programming","Takara","September 14, 1999","Unreleased","Unreleased",""
"Kindaichi Shounen no Jikenbo: Hihoushima Aratanaru Sangeki","Digital Frontier","Kodansha","November 29, 1996","Unreleased","Unreleased",""
"Kindaichi Shounen no Jikenbo: Jigoku Yuuen Satsujin Jiken","Digital Frontier","Kodansha","March 26, 1998","Unreleased","Unreleased",""
"Kindaichi Shounen no Jikenbo 3: Shouryuu Densetsu Satsujin Jiken","Digital Frontier","Kodansha","August 5, 1999","Unreleased","Unreleased",""
"King of Bowling","Coconuts Japan","Aisystem Tokyo","September 29, 1995","Unreleased","Unreleased",""
"King of Bowling 2","Coconuts Japan","Midas Interactive","August 27, 1998","September 1, 2000","Unreleased",""
"King of Bowling 3","DigiCube","Phoenix Games","Unreleased","June 27, 2003","Unreleased",""
"The King of Fighters '95","SNK","SNK","June 28, 1996","June 1996","August 31, 1996",""
"The King of Fighters '96","SNK","SNK","July 30, 1997","Unreleased","Unreleased",""
"The King of Fighters '97","SNK","SNK","May 28, 1998","Unreleased","Unreleased",""
"The King of Fighters '98","SNK","SNK","March 25, 1999","Unreleased","Unreleased",""
"The King of Fighters '99","SNK","SNK","March 23, 2000","Unreleased","April 22, 2001",""
"The King of Fighters: Kyo","Yumekobo","SNK","November 27, 1998","Unreleased","Unreleased",""
"King of Parlor","TEN","TEN","October 18, 1996","Unreleased","Unreleased",""
"King of Parlor 2","TEN","TEN","June 11, 1998","Unreleased","Unreleased",""
"King of Producer","Aqua Rouge","GMF","December 11, 1997","Unreleased","Unreleased",""
"King of Stallion","Nihon Bussan","Nihon Bussan","July 26, 1996","Unreleased","Unreleased",""
"Kingsley's Adventure","Psygnosis","Psygnosis","Unreleased","October 22, 1999","October 7, 1999",""
"King's Field","FromSoftware","FromSoftware","December 16, 1994","Unreleased","Unreleased",""
"King's Field IIJP•King's FieldPAL,NA","FromSoftware","FromSoftwareJP, ASCII EntertainmentNA, SCEEPAL","July 21, 1995","December 1995","October 11, 1996",""
"King's Field IIIJP•King's Field IINA","FromSoftware","FromSoftwareJP, ASCII EntertainmentNA","June 21, 1996","Unreleased","November 20, 1996",""
"Kinniku Banzuke: Road to Sasuke","Konami","Konami","April 27, 2000","Unreleased","Unreleased",""
"Kinniku Banzuke Vol. 1: Ore ga Saikyou no Otoko","Konami","Konami","December 16, 1999","Unreleased","Unreleased",""
"Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!","Konami","Konami","March 23, 2000","Unreleased","Unreleased",""
"Kinniku Banzuke Vol. 3 – Saikyou no Challenger Tanjyou!","Konami","Konami","December 21, 2000","Unreleased","Unreleased",""
"Kirikou","Étranges Libellules","Wanadoo","Unreleased","November 9, 2001","Unreleased",""
"Kisha de Go!","Taito","Taito","March 23, 2000","Unreleased","Unreleased",""
"Kishu Michi","SunSoft","SunSoft","September 7, 2000","Unreleased","Unreleased",""
"Kita Denshi Virtua Pachi-Slot","Map Japan","Map Japan","January 28, 1999","Unreleased","Unreleased",""
"Kita Denshi Virtua Pachi-Slot 2","Map Japan","Map Japan","May 2, 2000","Unreleased","Unreleased",""
"Kiss Pinball","Wildfire Studios","Take-Two Interactive","Unreleased","March 23, 2001","April 25, 2001",""
"Kitchen Panic","Panther Software","Panther Software","May 28, 1998","Unreleased","Unreleased",""
"Kitty the Kool!","Imagineer","Imagineer","November 26, 1998","Unreleased","Unreleased",""
"Kiwame Daidougi: Tsumuya Tsumazaruya","Mycom","Mycom","June 21, 1996","Unreleased","Unreleased",""
"Kizuna Toiu Na no Pendant","Stack","NEC Interchannel","April 6, 2000","Unreleased","Unreleased",""
"KKND2: Krossfire","Krome Studios Melbourne","Krome Studios Melbourne","Unreleased","April 15, 1999","Unreleased",""
"Klaymen Gun-Hockey","KIDSMIND Inc.","Riverhillsoft","November 25, 1999","Unreleased","Unreleased",""
"Klaymen Klaymen: The Neverhood Chronicles•The NeverhoodNA","The Neverhood, Riverhill Soft","DreamWorks Interactive","April 23, 1998","Unreleased","Unreleased",""
"Klonoa: Door to Phantomile","Namco","Namco","December 11, 1997","June 5, 1998","June 1998",""
"Klonoa Beach Volleyball","Namco","Namco","April 25, 2002","September 20, 2002","Unreleased",""
"Knockout Kings 99","EA Sports","Black Ops Entertainment","Unreleased","1998","October 31, 1998",""
"Knockout Kings 2000","EA Sports","Black Ops Entertainment","Unreleased","1999","October 31, 1999",""
"Knockout Kings 2001","EA Sports","Black Ops Entertainment","Unreleased","Unreleased","October 30, 2000",""
"KO the Live Boxing","Altron","Altron","June 4, 1998","Unreleased","Unreleased",""
"Kochira Katsushikaku Kameari Kouenzen: Hashutsujo – High-Tech Building Shinkou Soshi Sakusen! no Kan","Aisystem Tokyo","Bandai","July 24, 1997","Unreleased","Unreleased",""
"Kogepan: Pan mo Game o Yarurashii...","AIA","AIA","December 12, 2002","Unreleased","Unreleased",""
"Koh 2: Shogun","Rhythmics","ASK","October 26, 2000","Unreleased","Unreleased",""
"Koi Yohou","PrincessSoft","PrincessSoft","July 26, 2001","Unreleased","Unreleased",""
"Kojin Kyouju: La Lecon Particuliere","Mycom","Mycom","April 9, 1998","Unreleased","Unreleased",""
"Kokohore! Pukka: Dig-a-Dig Pukka","SCEI","SCEI","December 7, 2000","Unreleased","Unreleased",""
"Komocchi","Open Sesame","Victor Interactive Software","September 20, 2001","Unreleased","Unreleased",""
"Konami Antiques MSX Collection Vol. 1","Konami","Konami","November 20, 1997","Unreleased","Unreleased",""
"Konami Antiques MSX Collection Vol. 2","Konami","Konami","January 22, 1998","Unreleased","Unreleased",""
"Konami Antiques MSX Collection Vol. 3","Konami","Konami","March 19, 1998","Unreleased","Unreleased",""
"Konami Arcade Classics","Konami","Konami","May 13, 1999","Unreleased","November 30, 1999",""
"Konohana: True Report","Vridge","Success","April 26, 2001","Unreleased","Unreleased",""
"Konyamo Dorubako!!","Hearty Robin","Hearty Robin","March 11, 1999","Unreleased","Unreleased",""
"Konyamo Dorubako!! 2000","Hearty Robin","Hearty Robin","January 13, 2000","Unreleased","Unreleased",""
"Konyamo Dorubako!! 2001","Hearty Robin","Hearty Robin","December 13, 2001","Unreleased","Unreleased",""
"Koro Koro Post Nin","Media Entertainment","Media Entertainment","January 1, 2002","Unreleased","Unreleased","[75]"
"Kosodate Quiz: My Angel","Namco","Namco","November 13, 1997","Unreleased","Unreleased",""
"Kosodate Quiz: Motto My Angel","Namco","Namco","March 25, 1999","Unreleased","Unreleased",""
"Koten Tsugoshuu: Shijin no Kan","Vap","Vap","February 2, 1996","Unreleased","Unreleased",""
"Kotetsu Reiki: Steeldom","Technosoft","Technosoft","August 30, 1996","Unreleased","Unreleased",""
"Kotobuki Grand Prix","Syscom","Midas Interactive Entertainment","April 8, 1999","February 7, 2003","Unreleased",""
"Kōshien V","Magical Company","Magical Company","May 16, 1997","Unreleased","Unreleased",""
"Kouashi Kikou Shidan: Bein Panzer","Aprize Inc.","SCEI","October 12, 2000","Unreleased","Unreleased",""
"Koudelka","Sacnoth","JPNA SNK, Infogrames","December 16, 1999","September 29, 2000","June 29, 2000",""
"Kouryuu Sangoku Engi","Xing Entertainment","Xing Entertainment","November 29, 1996","Unreleased","Unreleased",""
"Kouryuuki","Koei","Koei","March 26, 1998","Unreleased","Unreleased",""
"Kouyasai","Astrovision","Shoeisha","February 25, 1999","Unreleased","Unreleased",""
"Kowai Shashin","Media Entertainment","Media Entertainment","July 25, 2002","Unreleased","Unreleased",""
"Kowloon Jou","Media Rings","Media Rings","December 7, 2000","Unreleased","Unreleased",""
"Kowloon's Gate","Zeque","Sony Music Entertainment Japan","February 28, 1997","Unreleased","Unreleased",""
"Krazy Ivan","Psygnosis","Psygnosis","October 4, 1996","January 1996","February 15, 1996",""
"Kula World•KulaQuestJP•Roll AwayNA","Game Design Sweden AB","Psygnosis","May 27, 1999","July 1998","November 30, 1998",""
"Kuma no Pooh Tarou: Karaha Pinkuda! Zenin shuugou!! (Sore da messu)","Shogakukan","Shogakukan","January 13, 1996","Unreleased","Unreleased",""
"Kuma no Pooh-San: Mori no Nakamato 123","Atlus","Atlus","November 15, 2001","Unreleased","Unreleased",""
"Kumitate Battle: Kuttu Ketto","TechnoSoft","TechnoSoft","March 12, 1998","Unreleased","Unreleased",""
"Kunoichi Torimonochou","Polestar","GMF","February 25, 1999","Unreleased","Unreleased",""
"Kuon no Kizuna","Fog","Fog","December 3, 1998","Unreleased","Unreleased",""
"Kurashi no Manner","Sol","D3Publisher","February 14, 2002","Unreleased","Unreleased",""
"Kuro no Juusan","Tonkin House","Tonkin House","September 27, 1996","Unreleased","Unreleased",""
"Kuro no Ken: Blade of the Darkness","CD Bros.","CD Bros.","October 9, 1997","Unreleased","Unreleased",""
"Kuroi Hitomi no Noir: Cielgris Fantasm (Noir Yuex Noire)","Gust","Gust","July 1, 1999","Unreleased","Unreleased",""
"Kurt Warner's Arena Football Unleashed","Midway","Midway","Unreleased","Unreleased","May 18, 2000",""
"Kuru Kuru Cube","Nousite","Nousite","November 9, 2000","Unreleased","Unreleased",""
"Kuru Kuru Panic","Kool Kizz","Kool Kizz","December 20, 1996","Unreleased","Unreleased",""
"KuruKuru MaruMaru","Japan Art Media (JAM)","Hudson","March 1, 2001","Unreleased","Unreleased",""
"KuruKuru Twinkle: Onegai Ohoshisama","Tomcat System","Tomy Corporation","October 4, 1996","Unreleased","Unreleased",""
"Kurumi Miracle","Banpresto","Banpresto","September 25, 1997","Unreleased","Unreleased",""
"Kururin Pa!","Sky Think Systems","Sky Think Systems","July 7, 1995","Unreleased","Unreleased",""
"Kuubo Senki","General Support","Unbalance","February 4, 1999","Unreleased","Unreleased",""
"Kyoro-chan no Purikura Daisakusen","Kan's","Tomy Corporation","February 11, 1999","Unreleased","Unreleased",""
"Kyoto Bugi Monogatari","Visit","Visit","June 21, 2001","Unreleased","Unreleased",""
"Kyoufu Shinbun","Atelier Double","Yutaka","January 24, 1997","Unreleased","Unreleased",""
"Kyoutei Wars: Mark 6","ParityBit","Enterbrain","July 5, 2002","Unreleased","Unreleased",""
"Kyuin","Media Entertainment","Media Entertainment","May 31, 1996","Unreleased","Unreleased",""
"Kyuukuoku no Soukoban","Thinking Rabbit","Itochu","September 13, 1996","Unreleased","Unreleased",""
"L no Kisetsu: A piece of memories","Tonkin House","Tonkin House","August 5, 1999","Unreleased","Unreleased",""
"Lagnacure","Artdink","Sony Music Entertainment Japan","October 2, 1997","Unreleased","Unreleased",""
"Lagnacure Legend","Artdink","Artdink","July 6, 2000","Unreleased","Unreleased",""
"Lake Masters","Nexus Interact","Dazz","August 2, 1996","Unreleased","Unreleased",""
"Lake Masters 2","Nexus Interact","Dazz","July 9, 1998","Unreleased","Unreleased",""
"Lake Masters Pro","Nexus Interact","Dazz","September 14, 1999","Unreleased","Unreleased",""
"The Land Before Time: Big Water Adventure","Digital Illusions","TDK Mediactive","Unreleased","May 9, 2003","November 27, 2002",""
"The Land Before Time: Great Valley Racing Adventure","Vision Scape","TDK Mediactive","Unreleased","2001","May 4, 2001",""
"The Land Before Time: Return to the Great Valley","Realtime Associates","Sound Source","Unreleased","2000","September 15, 2000",""
"Langrisser I & II","NCS","NCS","July 31, 1997","Unreleased","Unreleased",""
"Langrisser IV & V Final Edition","NCS","NCS","January 28, 1998","Unreleased","Unreleased",""
"Largo Winch.//Commando Sar","Rebellion","Ubisoft","Unreleased","September 6, 2002","February 1, 2002",""
"Las Vegas Dream 2","Dice","Imagineer","February 28, 1997","Unreleased","Unreleased",""
"The Last Blade","SNK","SNK","February 25, 1999","Unreleased","Unreleased",""
"The Last Report","Microids","MicroidsPAL, ShoueiJP","August 6, 1998","March 1998","Unreleased",""
"Lattice: 200EC7","Nousite","Hamster","April 27, 2000","Unreleased","Unreleased",""
"Le Concert ff","SAME Creative Inc.","Warashi","December 9, 1999","Unreleased","Unreleased",""
"Le Concert pp","SAME Creative Inc.","Warashi","December 9, 1999","Unreleased","Unreleased",""
"Leading Jockey '99","Harvest One","Harvest One","April 1, 1999","Unreleased","Unreleased",""
"Leading Jockey: Highbred","Harvest One","Harvest One","October 10, 1996","Unreleased","Unreleased",""
"Legacy of Kain: Soul Reaver","Crystal Dynamics","SCEA","Unreleased","1999","August 16, 1999",""
"Legend","Toka","Funsoft","Unreleased","December 15, 1998","Unreleased",""
"The Legend of Dragoon","SCEI","SCEA","December 2, 1999","January 19, 2001","June 11, 2000",""
"The Legend of Heroes I & II: Eiyuu Densetsu","Falcom","GMF","June 25, 1998","Unreleased","Unreleased",""
"The Legend of Heroes III: Shiroki Majo","Falcom","GMF","March 19, 1998","Unreleased","Unreleased",""
"The Legend of Heroes IV: Akai Shizuku","Falcom","GMF","August 27, 1998","Unreleased","Unreleased",""
"Legend of Legaia","Contrail","SCEA","October 29, 1998","May 27, 2000","March 17, 1999",""
"Legend of Mana•Seiken Densetsu: Legend of ManaJP","Square","JPSquare, NASquare Electronic Arts","July 15, 1999","Unreleased","June 7, 2000",""
"Legend of Mulan","The Code Monkeys","Phoenix Games","Unreleased","2003","Unreleased",""
"Legend of Pocahontas","The Code Monkeys","Midas Interactive","Unreleased","April 12, 2002","Unreleased",""
"Lego Island 2: The Brickster's Revenge","Silicon Dreams Studio","Lego Media","Unreleased","2001","March 2001",""
"Lego no Sekai","Bandai","Bandai","July 18, 2002","Unreleased","Unreleased",""
"Lego Racers","High Voltage Software","Lego Media","Unreleased","September 1999","December 17, 1999",""
"Lego Rock Raiders","Data Design Interactive","Lego Media","Unreleased","1999","August 17, 2000",""
"Lemmings 3D•3D LemmingsPAL","Clockwork Games","Psygnosis, SCE AustraliaAU, SCEIJP","November 8, 1996","September 29, 1995","November 21, 1995",""
"Lemmings & Oh No! More Lemmings","Psygnosis","Psygnosis","Unreleased","1998","October 10, 1998",""
"Let's Go Flyfishing","Victor Interactive Software","Victor Interactive Software","January 21, 1999","Unreleased","Unreleased",""
"Lethal Enforcers I & II","Konami","Konami","November 20, 1997","November 20, 1997","November 1997",""
"LiberoGrande","Namco","Namco","November 26, 1998","1998","Unreleased",""
"Liberogrande International•Liberogrande 2JP","Namco","Namco, SCEEPAL","September 7, 2000","2000","Unreleased",""
"LifeScape 2: Bosy Bionics","Scitron & Art","MediaQuest","August 7, 1997","Unreleased","Unreleased",""
"Light Fantasy Gaiden: Nyanyan ga Nyan","Tonkin House","Tonkin House","October 21, 1999","Unreleased","Unreleased",""
"Lightning Legend: Daigo no Daibouken","KCET","Konami","December 20, 1996","Unreleased","Unreleased",""
"Linda Cube Again","Alfa System","SCEI","September 25, 1997","Unreleased","Unreleased",""
"Ling Rise","Atelier Double","Epoch","November 25, 1999","Unreleased","Unreleased",""
"The Lion King: Simba's Mighty Adventure","Paradox Development","Activision","Unreleased","March 9, 2001","December 22, 2000",""
"Lion and the King","The Code Monkeys","Midas Interactive Entertainment","Unreleased","April 13, 2001","Unreleased",""
"Lion And The King 2","The Code Monkeys","Phoenix Games","Unreleased","2003","Unreleased",""
"Liquid Books: Amrita's Tree Credito and the Coyote","Lightspan","Lightspan","Unreleased","Unreleased","1996",""
"Liquid Books: Far-Fetched Frontier Tales","Lightspan","Lightspan","Unreleased","Unreleased","1996",""
"Liquid Books: Lety's Favorite Stories","Lightspan","Lightspan","Unreleased","Unreleased","1996",""
"Liquid Books: Pop-Out Prose","Lightspan","Lightspan","Unreleased","Unreleased","1996",""
"Liquid Books: The Adventures of Adelita and Bo","Lightspan","Lightspan","Unreleased","Unreleased","1996",""
"Liquid Books: The Wandering Path","Lightspan","Lightspan","Unreleased","Unreleased","1996",""
"Little Big Adventure","Adeline Software International","Electronic Arts","July 19, 1996","1997","Unreleased",""
"Little Lovers: She So Game","OeRSTED","NTT","September 2, 1999","Unreleased","Unreleased",""
"Little Princess: Marl Ōkoku no Ningyō Hime 2","Nippon Ichi Software","Nippon Ichi Software","November 25, 1999","Unreleased","Unreleased",""
"Live Wire!","The Code Monkeys","SCi","Unreleased","April 1999","Unreleased","[76]"
"LMA Manager","Codemasters","Codemasters","Unreleased","September 15, 1999","Unreleased",""
"LMA Manager 2001","Codemasters","Codemasters","Unreleased","March 16, 2001","Unreleased","[77]"
